category,n_samples,accuracy,f1,auc,kappa,mcc
Books,4370,0.9368,0.9365,0.9843,0.8737,0.8737
Clothing Shoes and Jewelry,3847,0.9319,0.9321,0.9819,0.8638,0.8638
Electronics,3988,0.9511,0.9506,0.9891,0.9022,0.9024
Home and Kitchen,4056,0.9541,0.954,0.9894,0.9083,0.9083
Kindle Store,4730,0.9342,0.9346,0.9856,0.8685,0.8685
Movies and TV,3588,0.9236,0.9226,0.9815,0.8473,0.8476
Pet Supplies,4254,0.9471,0.9467,0.9885,0.8942,0.8943
Sports and Outdoors,3946,0.9501,0.9494,0.9886,0.9002,0.9004
Tools and Home Improvement,3858,0.9502,0.9495,0.9888,0.9005,0.9008
Toys and Games,3794,0.9404,0.94,0.9855,0.8809,0.881
