category,n_samples,accuracy,f1,auc,kappa,mcc
Books,4370,0.9094,0.9076,0.9719,0.8188,0.8194
Clothing Shoes and Jewelry,3847,0.9111,0.9116,0.9703,0.8222,0.8223
Electronics,3988,0.9278,0.9268,0.9801,0.8556,0.8559
Home and Kitchen,4056,0.9204,0.9195,0.976,0.8407,0.8409
Kindle Store,4730,0.9127,0.9128,0.9755,0.8254,0.8254
Movies and TV,3588,0.908,0.9066,0.973,0.8161,0.8165
Pet Supplies,4254,0.913,0.9118,0.9754,0.826,0.8264
Sports and Outdoors,3946,0.9192,0.9179,0.9752,0.8383,0.8387
Tools and Home Improvement,3858,0.9253,0.9238,0.9788,0.8507,0.8514
Toys and Games,3794,0.9157,0.9149,0.9747,0.8313,0.8314
