feature,importance
type_token_ratio,1.4478108623223074
avg_sent_len,0.9097926701795599
char_count,0.7602325570895585
avg_word_len,0.5632973357719295
word_count,0.4455221607753556
punct_ratio,0.2839522597372477
exclamation_cnt,0.22446546197815548
sentiment_score,0.1777418754517938
caps_ratio,0.1514600416407022
burstiness,0.12326210605518853
perplexity_proxy,0.11238641844655786
rating,0.06331382286382757
repetition_score,0.057783576755409786
question_cnt,0.04267596887257736
vagueness_score,0.03492815623229846
